fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion,tc
sakura filter,2024-01-01,a-1864,6.0,585.4263035381061,596.5940566085364,3.6274249862732804
sakura filter,2024-02-01,a-1864,6.0,609.33412277711,573.7872924850325,3.801000250345783
sakura filter,2024-03-01,a-1864,6.0,662.7253853820309,682.6885104591172,3.7945998272017083
sakura filter,2024-04-01,a-1864,6.0,603.8813267970673,602.0057567697631,3.639956781900468
sakura filter,2024-05-01,a-1864,6.0,599.0875741411883,590.566345191534,3.7519999543781286
ito koyama - palieres,2024-01-01,to-015,6.0,1338.4813174577212,1521.6593103940586,3.6274249862732804
ito koyama - palieres,2024-02-01,to-015,6.0,1088.4535034031007,1500.1168691534306,3.801000250345783
ito koyama - palieres,2024-03-01,to-015,6.0,729.8631644301219,1400.3048249935168,3.7945998272017083
ito koyama - palieres,2024-04-01,to-015,6.0,418.0095397036699,1275.7542657672493,3.639956781900468
ito koyama - palieres,2024-05-01,to-015,6.0,619.6814526857072,1376.635858455128,3.7519999543781286
narva,2024-01-01,48607,4.0,823.1407711291739,1163.5644330297837,3.6274249862732804
narva,2024-02-01,48607,4.0,765.0263891921395,1087.944232997718,3.801000250345783
narva,2024-03-01,48607,4.0,766.3167736411432,972.0681961235834,3.7945998272017083
narva,2024-04-01,48607,4.0,798.8736325935768,618.3434921533493,3.639956781900468
narva,2024-05-01,48607,4.0,145.55206067610214,672.835576291551,3.7519999543781286
sakura filter,2024-01-01,eo-11050,6.0,724.3797603360399,723.6032848141795,3.6274249862732804
sakura filter,2024-02-01,eo-11050,6.0,669.2177759626201,691.023443457797,3.801000250345783
sakura filter,2024-03-01,eo-11050,6.0,719.4603161160683,684.4544587709559,3.7945998272017083
sakura filter,2024-04-01,eo-11050,6.0,800.4451493377871,739.326362214282,3.639956781900468
sakura filter,2024-05-01,eo-11050,6.0,732.9373973180986,715.3092172963069,3.7519999543781286
ito koyama - resortes,2024-01-01,t010,6.0,1079.1939062937618,1135.6107079831754,3.6274249862732804
ito koyama - resortes,2024-02-01,t010,6.0,1020.7434277292234,1046.3696250858068,3.801000250345783
ito koyama - resortes,2024-03-01,t010,6.0,964.3009506107269,1044.3720815384613,3.7945998272017083
ito koyama - resortes,2024-04-01,t010,6.0,1065.904420522233,972.8903308111293,3.639956781900468
ito koyama - resortes,2024-05-01,t010,6.0,1049.5542642672344,1035.8144195423677,3.7519999543781286
sakura filter,2024-01-01,a-8602-s,6.0,1940.7980561810205,2573.303362263799,3.6274249862732804
sakura filter,2024-02-01,a-8602-s,6.0,1710.7156663115395,2638.2457229649817,3.801000250345783
sakura filter,2024-03-01,a-8602-s,6.0,2030.196726365825,2631.443704204727,3.7945998272017083
sakura filter,2024-04-01,a-8602-s,6.0,2518.0438772589505,2825.0213365409877,3.639956781900468
sakura filter,2024-05-01,a-8602-s,6.0,2642.1286049278096,2752.9107009060717,3.7519999543781286
ito koyama - resortes,2024-01-01,t015,6.0,4749.857330492148,6014.875482225892,3.6274249862732804
ito koyama - resortes,2024-02-01,t015,6.0,4193.647643466993,4268.591797110838,3.801000250345783
ito koyama - resortes,2024-03-01,t015,6.0,3463.6855284738685,4452.15428659632,3.7945998272017083
ito koyama - resortes,2024-04-01,t015,6.0,3336.145182918557,4766.809218456683,3.639956781900468
ito koyama - resortes,2024-05-01,t015,6.0,3522.3228857551508,4327.557046026606,3.7519999543781286
mann - brasil,2024-01-01,c-311345/1,4.0,48.82445699586311,1687.57773655523,3.6274249862732804
mann - brasil,2024-02-01,c-311345/1,4.0,77.65809154748473,1070.2952472509785,3.801000250345783
mann - brasil,2024-03-01,c-311345/1,4.0,140.02034204905215,768.6585662196363,3.7945998272017083
mann - brasil,2024-04-01,c-311345/1,4.0,664.970282181713,2059.671291226466,3.639956781900468
mann - brasil,2024-05-01,c-311345/1,4.0,802.4573496337769,1940.5646086022155,3.7519999543781286
mann - brasil,2024-01-01,cf-600/1,4.0,326.86042630720766,751.9279606106419,3.6274249862732804
mann - brasil,2024-02-01,cf-600/1,4.0,284.03757488671704,708.5590574818941,3.801000250345783
mann - brasil,2024-03-01,cf-600/1,4.0,340.4038687583905,667.4903635982495,3.7945998272017083
mann - brasil,2024-04-01,cf-600/1,4.0,500.5197840320409,700.6050897741624,3.639956781900468
mann - brasil,2024-05-01,cf-600/1,4.0,434.1897349464784,533.7386713348611,3.7519999543781286
ito koyama - resortes,2024-01-01,hy033,6.0,647.9721077857228,957.3467417901173,3.6274249862732804
ito koyama - resortes,2024-02-01,hy033,6.0,523.6299365934689,789.8674521577416,3.801000250345783
ito koyama - resortes,2024-03-01,hy033,6.0,144.8655375200941,657.9775546237082,3.7945998272017083
ito koyama - resortes,2024-04-01,hy033,6.0,270.7947145045363,876.1045436220452,3.639956781900468
ito koyama - resortes,2024-05-01,hy033,6.0,409.21850209864965,855.2101436189904,3.7519999543781286
mann - brasil,2024-01-01,c-281012,4.0,619.4183487990916,1651.355678114089,3.6274249862732804
mann - brasil,2024-02-01,c-281012,4.0,778.3240478154805,1458.6188661670121,3.801000250345783
mann - brasil,2024-03-01,c-281012,4.0,1736.9125019622807,1977.4656737420696,3.7945998272017083
mann - brasil,2024-04-01,c-281012,4.0,2078.1954908807097,1751.912956943206,3.639956781900468
mann - brasil,2024-05-01,c-281012,4.0,1756.6332515862082,1865.8607896925378,3.7519999543781286
narva,2024-01-01,17632,4.0,838.7580967156632,996.3797804776062,3.6274249862732804
narva,2024-02-01,17632,4.0,847.5412629392425,910.6808565551066,3.801000250345783
narva,2024-03-01,17632,4.0,725.1625812105643,937.8232849736179,3.7945998272017083
narva,2024-04-01,17632,4.0,678.1203370276604,973.4007693409985,3.639956781900468
narva,2024-05-01,17632,4.0,679.7328896128162,945.822149891023,3.7519999543781286
sakura filter,2024-01-01,efg-15010,6.0,1374.8606768319398,1114.3931097312402,3.6274249862732804
sakura filter,2024-02-01,efg-15010,6.0,1217.8521874344935,1085.9582001175806,3.801000250345783
sakura filter,2024-03-01,efg-15010,6.0,1365.0209482505245,1366.1430582409607,3.7945998272017083
sakura filter,2024-04-01,efg-15010,6.0,1347.9887475941375,1301.6293360277336,3.639956781900468
sakura filter,2024-05-01,efg-15010,6.0,1515.3495924091033,1262.6862744830046,3.7519999543781286
sakura filter,2024-01-01,c-1305,6.0,1414.6771724063149,1820.0793610560543,3.6274249862732804
sakura filter,2024-02-01,c-1305,6.0,1376.3571735296052,1687.929577350628,3.801000250345783
sakura filter,2024-03-01,c-1305,6.0,1442.416610952124,1632.6255836204045,3.7945998272017083
sakura filter,2024-04-01,c-1305,6.0,1395.3619222039003,1881.8626020277534,3.639956781900468
sakura filter,2024-05-01,c-1305,6.0,1507.8405381505856,1708.312018383079,3.7519999543781286
narva,2024-01-01,17948,4.0,891.5384476373218,1687.477160757884,3.6274249862732804
narva,2024-02-01,17948,4.0,1132.0103116971945,1601.9504139354822,3.801000250345783
narva,2024-03-01,17948,4.0,1184.9096597193522,1737.1836404721698,3.7945998272017083
narva,2024-04-01,17948,4.0,1397.2504273483066,1881.9957741018266,3.639956781900468
narva,2024-05-01,17948,4.0,1333.4244240601151,1798.8720554801353,3.7519999543781286
sakura filter,2024-01-01,eo-28090,6.0,3060.343841979263,3431.2354003090345,3.6274249862732804
sakura filter,2024-02-01,eo-28090,6.0,2571.3319338480733,3127.658625756467,3.801000250345783
sakura filter,2024-03-01,eo-28090,6.0,2680.9805336246814,3272.9949809127506,3.7945998272017083
sakura filter,2024-04-01,eo-28090,6.0,3176.3401515698984,3618.5848992675033,3.639956781900468
sakura filter,2024-05-01,eo-28090,6.0,3101.34474924153,3152.6797941138043,3.7519999543781286
sakura filter,2024-01-01,c-1809,6.0,855.0767866802155,772.1739911300093,3.6274249862732804
sakura filter,2024-02-01,c-1809,6.0,717.9043467339602,742.7228860700171,3.801000250345783
sakura filter,2024-03-01,c-1809,6.0,826.2264578587952,680.8781846202926,3.7945998272017083
sakura filter,2024-04-01,c-1809,6.0,922.6330958512764,689.0086164971682,3.639956781900468
sakura filter,2024-05-01,c-1809,6.0,854.2991355799038,942.9639120689832,3.7519999543781286
mann - brasil,2024-01-01,c-271340,4.0,2455.0384397833363,2930.9031701182143,3.6274249862732804
mann - brasil,2024-02-01,c-271340,4.0,2362.2904747709113,2685.787871369162,3.801000250345783
mann - brasil,2024-03-01,c-271340,4.0,2055.9438478525744,2650.290480254826,3.7945998272017083
mann - brasil,2024-04-01,c-271340,4.0,1779.3353677391312,2826.701860619022,3.639956781900468
mann - brasil,2024-05-01,c-271340,4.0,1785.0481456027135,2897.2959169818514,3.7519999543781286
narva,2024-01-01,17629,4.0,1376.6354581597839,1896.3695898704877,3.6274249862732804
narva,2024-02-01,17629,4.0,1291.0539706268632,1795.2906110465901,3.801000250345783
narva,2024-03-01,17629,4.0,1566.2893175791994,1884.1668409655163,3.7945998272017083
narva,2024-04-01,17629,4.0,1632.8328960902566,1904.6417360276923,3.639956781900468
narva,2024-05-01,17629,4.0,786.283122254712,1273.4258716106244,3.7519999543781286
narva,2024-01-01,98016,4.0,432.6753892944727,669.9934325883459,3.6274249862732804
narva,2024-02-01,98016,4.0,362.2078711281578,544.5064258307002,3.801000250345783
narva,2024-03-01,98016,4.0,362.8188139803437,492.0670221609498,3.7945998272017083
narva,2024-04-01,98016,4.0,378.2331196021841,492.5951482460602,3.639956781900468
narva,2024-05-01,98016,4.0,0.0,476.490275330343,3.7519999543781286
narva,2024-01-01,17171,4.0,1706.0926337520687,1343.1631582207463,3.6274249862732804
narva,2024-02-01,17171,4.0,1610.4355094550992,1269.7804291609878,3.801000250345783
narva,2024-03-01,17171,4.0,1181.8436784908627,1206.4756486574172,3.7945998272017083
narva,2024-04-01,17171,4.0,1323.3925840120553,1802.8394558707632,3.639956781900468
narva,2024-05-01,17171,4.0,1179.766025146295,1571.1948747033941,3.7519999543781286
sakura - radiadores,2024-01-01,3461-1096skr,6.0,856.3333941727419,1361.5015339795195,3.6274249862732804
sakura - radiadores,2024-02-01,3461-1096skr,6.0,750.2424166923864,981.0871178124117,3.801000250345783
sakura - radiadores,2024-03-01,3461-1096skr,6.0,872.2859144256639,1197.0550597577308,3.7945998272017083
sakura - radiadores,2024-04-01,3461-1096skr,6.0,965.3045407487716,988.8309669675776,3.639956781900468
sakura - radiadores,2024-05-01,3461-1096skr,6.0,977.1948231449995,1613.798983125267,3.7519999543781286
sakura filter,2024-01-01,fc-1702,6.0,327.4065699646015,445.0571573951154,3.6274249862732804
sakura filter,2024-02-01,fc-1702,6.0,318.8610161115217,505.0575318640068,3.801000250345783
sakura filter,2024-03-01,fc-1702,6.0,303.001136444727,405.02397088189076,3.7945998272017083
sakura filter,2024-04-01,fc-1702,6.0,337.42785844139956,509.86858913042266,3.639956781900468
sakura filter,2024-05-01,fc-1702,6.0,333.1198107216145,495.88699415273936,3.7519999543781286
ito koyama - resortes,2024-01-01,n008,6.0,714.5243208365683,794.296375131748,3.6274249862732804
ito koyama - resortes,2024-02-01,n008,6.0,681.895081292543,691.4589132039367,3.801000250345783
ito koyama - resortes,2024-03-01,n008,6.0,769.4713798382795,823.1852511073847,3.7945998272017083
ito koyama - resortes,2024-04-01,n008,6.0,796.3494917726287,753.6757335045664,3.639956781900468
ito koyama - resortes,2024-05-01,n008,6.0,696.439669004696,733.759091442206,3.7519999543781286
ito koyama - resortes,2024-01-01,n002,6.0,1321.9044125756532,1885.082403492932,3.6274249862732804
ito koyama - resortes,2024-02-01,n002,6.0,1319.4074975431017,1496.2356444666718,3.801000250345783
ito koyama - resortes,2024-03-01,n002,6.0,1368.0060536342771,1534.271462976507,3.7945998272017083
ito koyama - resortes,2024-04-01,n002,6.0,1728.2708492997624,1734.1781203470916,3.639956781900468
ito koyama - resortes,2024-05-01,n002,6.0,1547.6868809320868,1682.5203782341193,3.7519999543781286
wagner - pastillas,2024-01-01,mwmwd976,3.0,6429.60105608603,8389.52691261666,3.6274249862732804
wagner - pastillas,2024-02-01,mwmwd976,3.0,7454.21514351977,9025.311928227007,3.801000250345783
