fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion,tc
sakura filter,2024-06-01,a-1880,6.0,673.2887966273997,820.5707208896434,3.746999808933834
sakura filter,2024-07-01,a-1880,6.0,631.532436836956,837.5913588260535,3.756425045317437
sakura filter,2024-08-01,a-1880,6.0,673.1142198429386,788.3406198160523,3.732000149037844
sakura filter,2024-09-01,a-1880,6.0,615.906228733019,812.9197118370595,3.746999808933834
sakura filter,2024-10-01,a-1880,6.0,,,3.715999990254402
sakura filter,2024-06-01,c-1823,6.0,334.51058931914355,334.51058931914355,3.746999808933834
sakura filter,2024-07-01,c-1823,6.0,84.76829266657981,84.76829266657981,3.756425045317437
sakura filter,2024-08-01,c-1823,6.0,90.76033234614013,90.76033234614013,3.732000149037844
sakura filter,2024-09-01,c-1823,6.0,73.73396551617485,73.73396551617485,3.746999808933834
sakura filter,2024-10-01,c-1823,6.0,,,3.715999990254402
ito koyama - amortiguadores,2024-06-01,54302-54y00,6.0,574.643745606751,574.643745606751,3.746999808933834
ito koyama - amortiguadores,2024-07-01,54302-54y00,6.0,565.7090730633396,565.7090730633396,3.756425045317437
ito koyama - amortiguadores,2024-08-01,54302-54y00,6.0,840.9189415306878,840.9189415306878,3.732000149037844
ito koyama - amortiguadores,2024-09-01,54302-54y00,6.0,845.064331774634,845.064331774634,3.746999808933834
ito koyama - amortiguadores,2024-10-01,54302-54y00,6.0,,,3.715999990254402
valvoline,2024-06-01,g20w50100,2.0,1078.784295844826,1078.784295844826,3.746999808933834
valvoline,2024-07-01,g20w50100,2.0,926.3623876031172,926.3623876031172,3.756425045317437
valvoline,2024-08-01,g20w50100,2.0,1288.4420532485562,1714.1553632400382,3.732000149037844
valvoline,2024-09-01,g20w50100,2.0,1275.7796889990987,1622.866810270912,3.746999808933834
valvoline,2024-10-01,g20w50100,2.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,hy036,6.0,438.9217074987977,438.9217074987977,3.746999808933834
ito koyama - resortes,2024-07-01,hy036,6.0,392.2141174490059,392.2141174490059,3.756425045317437
ito koyama - resortes,2024-08-01,hy036,6.0,514.1334592350971,462.12919405607084,3.732000149037844
ito koyama - resortes,2024-09-01,hy036,6.0,402.3448985405645,439.0499761557116,3.746999808933834
ito koyama - resortes,2024-10-01,hy036,6.0,,,3.715999990254402
narva,2024-06-01,17635,4.0,3533.231909555321,3533.231909555321,3.746999808933834
narva,2024-07-01,17635,4.0,3569.5413803096594,3569.5413803096594,3.756425045317437
narva,2024-08-01,17635,4.0,3642.84587236502,3642.84587236502,3.732000149037844
narva,2024-09-01,17635,4.0,4015.812439332787,4015.812439332787,3.746999808933834
narva,2024-10-01,17635,4.0,,,3.715999990254402
sakura filter,2024-06-01,c-1533,6.0,4474.476229967404,4474.476229967404,3.746999808933834
sakura filter,2024-07-01,c-1533,6.0,4193.842172888025,4193.842172888025,3.756425045317437
sakura filter,2024-08-01,c-1533,6.0,4389.97046779636,3877.2023518705087,3.732000149037844
sakura filter,2024-09-01,c-1533,6.0,4442.57644695908,3851.3996271946185,3.746999808933834
sakura filter,2024-10-01,c-1533,6.0,,,3.715999990254402
sakura filter,2024-06-01,a-5107-s,6.0,814.5074597822912,922.6712032757904,3.746999808933834
sakura filter,2024-07-01,a-5107-s,6.0,859.6390975464562,859.6390975464562,3.756425045317437
sakura filter,2024-08-01,a-5107-s,6.0,722.812998096628,860.9414220680459,3.732000149037844
sakura filter,2024-09-01,a-5107-s,6.0,972.1540649014441,758.9658489313214,3.746999808933834
sakura filter,2024-10-01,a-5107-s,6.0,,,3.715999990254402
valvoline - usa,2024-06-01,884567,3.0,3396.819779633592,3749.6145419716845,3.746999808933834
valvoline - usa,2024-07-01,884567,3.0,4285.568024910068,4853.969227599583,3.756425045317437
valvoline - usa,2024-08-01,884567,3.0,5014.657392641399,4160.014640542712,3.732000149037844
valvoline - usa,2024-09-01,884567,3.0,4900.227052471423,3640.547315282161,3.746999808933834
valvoline - usa,2024-10-01,884567,3.0,,,3.715999990254402
aisin - japon,2024-06-01,dt-123v,6.0,5763.58207340817,7123.176213090451,3.746999808933834
aisin - japon,2024-07-01,dt-123v,6.0,5432.547757623948,11181.668442131018,3.756425045317437
aisin - japon,2024-08-01,dt-123v,6.0,6097.5241050731065,11739.647287006423,3.732000149037844
aisin - japon,2024-09-01,dt-123v,6.0,6073.115033162926,13411.732226977507,3.746999808933834
aisin - japon,2024-10-01,dt-123v,6.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,hy004,6.0,410.51276959153034,410.51276959153034,3.746999808933834
ito koyama - resortes,2024-07-01,hy004,6.0,397.07418478655006,397.07418478655006,3.756425045317437
ito koyama - resortes,2024-08-01,hy004,6.0,441.3055204413681,449.6320396949788,3.732000149037844
ito koyama - resortes,2024-09-01,hy004,6.0,389.77980143034193,389.77980143034193,3.746999808933834
ito koyama - resortes,2024-10-01,hy004,6.0,,,3.715999990254402
ito koyama - amortiguadores,2024-06-01,4853002700,6.0,77.10940708990195,808.3193019079378,3.746999808933834
ito koyama - amortiguadores,2024-07-01,4853002700,6.0,39.784102797744126,954.8184671458591,3.756425045317437
ito koyama - amortiguadores,2024-08-01,4853002700,6.0,64.07116578211652,1019.2651781899439,3.732000149037844
ito koyama - amortiguadores,2024-09-01,4853002700,6.0,284.50712271101753,986.4686217363319,3.746999808933834
ito koyama - amortiguadores,2024-10-01,4853002700,6.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,k005,6.0,253.2508677048817,379.5621481518928,3.746999808933834
ito koyama - resortes,2024-07-01,k005,6.0,154.37610014842699,416.34766403666674,3.756425045317437
ito koyama - resortes,2024-08-01,k005,6.0,117.71700644660486,371.12521676800884,3.732000149037844
ito koyama - resortes,2024-09-01,k005,6.0,196.97289710379687,283.4989443003574,3.746999808933834
ito koyama - resortes,2024-10-01,k005,6.0,,,3.715999990254402
sakura filter,2024-06-01,c-1809,6.0,749.0941504848895,778.0199893451805,3.746999808933834
sakura filter,2024-07-01,c-1809,6.0,643.6823104108556,710.2993985680768,3.756425045317437
sakura filter,2024-08-01,c-1809,6.0,651.7388379862504,717.5106473243125,3.732000149037844
sakura filter,2024-09-01,c-1809,6.0,696.3470325631823,696.3470325631823,3.746999808933834
sakura filter,2024-10-01,c-1809,6.0,,,3.715999990254402
valvoline,2024-06-01,di1540ci025,2.0,188.20109757552407,188.20109757552407,3.746999808933834
valvoline,2024-07-01,di1540ci025,2.0,262.8204357624413,262.8204357624413,3.756425045317437
valvoline,2024-08-01,di1540ci025,2.0,317.4486263320669,566.872547021548,3.732000149037844
valvoline,2024-09-01,di1540ci025,2.0,357.58208539349573,451.68263418125787,3.746999808933834
valvoline,2024-10-01,di1540ci025,2.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,t012,6.0,1421.310301335221,1421.310301335221,3.746999808933834
ito koyama - resortes,2024-07-01,t012,6.0,1118.3067648487693,1118.3067648487693,3.756425045317437
ito koyama - resortes,2024-08-01,t012,6.0,987.2291585642881,987.2291585642881,3.732000149037844
ito koyama - resortes,2024-09-01,t012,6.0,1148.6882823291119,1148.6882823291119,3.746999808933834
ito koyama - resortes,2024-10-01,t012,6.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,t003,6.0,1073.8934188669778,1073.8934188669778,3.746999808933834
ito koyama - resortes,2024-07-01,t003,6.0,797.5005143034767,797.5005143034767,3.756425045317437
ito koyama - resortes,2024-08-01,t003,6.0,598.4775823826257,598.4775823826257,3.732000149037844
ito koyama - resortes,2024-09-01,t003,6.0,704.8903938818488,704.8903938818488,3.746999808933834
ito koyama - resortes,2024-10-01,t003,6.0,,,3.715999990254402
deestone,2024-06-01,dttmlt265/65r17,6.0,13161.838783017154,14388.993770099189,3.746999808933834
deestone,2024-07-01,dttmlt265/65r17,6.0,13200.818914109577,15144.939517823897,3.756425045317437
deestone,2024-08-01,dttmlt265/65r17,6.0,12103.444552513462,13601.276014101953,3.732000149037844
deestone,2024-09-01,dttmlt265/65r17,6.0,14316.808182623776,14316.808182623776,3.746999808933834
deestone,2024-10-01,dttmlt265/65r17,6.0,,,3.715999990254402
sakura filter,2024-06-01,a-61440,6.0,414.2482128903347,414.2482128903347,3.746999808933834
sakura filter,2024-07-01,a-61440,6.0,167.81661041951125,167.81661041951125,3.756425045317437
sakura filter,2024-08-01,a-61440,6.0,175.82025020527246,175.82025020527246,3.732000149037844
sakura filter,2024-09-01,a-61440,6.0,149.19284295667228,149.19284295667228,3.746999808933834
sakura filter,2024-10-01,a-61440,6.0,,,3.715999990254402
novaquimica - peru,2024-06-01,adex3h,1.0,977.1798333499597,977.1798333499597,3.746999808933834
novaquimica - peru,2024-07-01,adex3h,1.0,1157.4894928189417,1261.5340804739353,3.756425045317437
novaquimica - peru,2024-08-01,adex3h,1.0,1226.3841447729687,1407.6387887454619,3.732000149037844
novaquimica - peru,2024-09-01,adex3h,1.0,855.0323541812147,855.0323541812147,3.746999808933834
novaquimica - peru,2024-10-01,adex3h,1.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,n016,6.0,278.54765374320385,278.54765374320385,3.746999808933834
ito koyama - resortes,2024-07-01,n016,6.0,309.3033260776132,286.24295692817606,3.756425045317437
ito koyama - resortes,2024-08-01,n016,6.0,332.43458771384,308.0786691026848,3.732000149037844
ito koyama - resortes,2024-09-01,n016,6.0,404.68244034389994,404.68244034389994,3.746999808933834
ito koyama - resortes,2024-10-01,n016,6.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,ch001,6.0,965.1351469030462,965.1351469030462,3.746999808933834
ito koyama - resortes,2024-07-01,ch001,6.0,1020.7666059109687,1020.7666059109687,3.756425045317437
ito koyama - resortes,2024-08-01,ch001,6.0,895.9729465364204,999.0303581749382,3.732000149037844
ito koyama - resortes,2024-09-01,ch001,6.0,911.7859679285059,911.7859679285059,3.746999808933834
ito koyama - resortes,2024-10-01,ch001,6.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,t035,6.0,233.4738998274809,376.7419747216169,3.746999808933834
