articulo,stock,compras_recomendadas,demanda_mensual,index_riesgo,riesgo,LT_meses,mean_margen,ultima_fecha,monto_usd,ultima_compra
a-1864,135.0,356.8510284423828,59.475171407063804,2.269854744529012,Verde,6.0,2.1911280968495417,2024-08-29,2.5,126.0
to-015,0.0,604.2539305911863,100.70898843186438,0.0,Rojo,6.0,0.628244021437373,2024-06-21,6.22,450.0
48607,36.0,237.2958016249542,59.32395040623855,0.6068375378490339,Rojo,4.0,0.5754926529707417,2024-05-29,6.770265882968903,600.0
eo-11050,1324.0,1886.508618734958,314.418103122493,4.2109534624480185,Verde,6.0,1.0210887737889374,2024-08-29,1.02,300.0
t010,164.0,669.124218117523,111.52070301958717,1.4705789647971956,Amarillo,6.0,0.8609167128854436,2024-01-22,3.89,160.0
a-8602-s,1352.0,1229.476347597365,204.91272459956085,6.5979309124997965,Verde,6.0,1.1106599075579475,2024-03-18,3.94,200.0
t015,1398.0,2240.982529987523,373.4970883312538,3.743001066611038,Verde,6.0,0.8137346993899165,2024-01-22,5.04,1200.0
c-311345/1,50.0,82.2214373419182,20.55535933547955,2.4324556522686307,Verde,4.0,0.3490385532172266,2024-02-09,50.84709048986435,12.0
cf-600/1,221.0,138.4983386993408,34.6245846748352,6.382748040891898,Verde,4.0,0.3858546119485375,2024-09-12,8.88,240.0
hy033,90.0,338.5576227755163,56.42627046258605,1.5950017476287985,Verde,6.0,0.9766330341380328,2024-01-22,5.99,200.0
c-281012,7.0,124.6291255120574,31.15728137801435,0.22466658483687352,Rojo,4.0,0.3652482451268461,2024-09-12,35.04,160.0
17632,1270.0,3172.532232447786,793.1330581119465,1.601244566735417,Verde,4.0,0.3439809752085989,2024-05-29,0.7066739025115967,2000.0
efg-15010,1096.0,1058.245289817245,176.37421496954084,6.214060259257709,Verde,6.0,0.9413588313802372,2024-08-29,2.85,300.0
c-1305,1885.0,1219.057111990592,203.1761853317653,9.277662128177047,Verde,6.0,0.5619267571860282,2024-08-29,3.9,144.0
17948,3870.0,4883.603992350834,1220.9009980877086,3.169790184512555,Verde,4.0,0.3449864812620959,2024-05-29,0.9064568654298782,2000.0
eo-28090,1489.0,3492.874429785426,582.145738297571,2.5577787520259734,Verde,6.0,1.2926786521193057,2024-08-29,2.0,200.0
c-1809,312.0,2219.714790983025,369.95246516383753,0.8433515907559296,Rojo,6.0,0.8659455028809122,2024-08-29,1.07,100.0
c-271340,317.0,196.93506425944,49.23376606486,6.438670557567907,Verde,4.0,0.25911643771448284,2024-09-12,32.5,64.0
17629,770.0,2213.386809334833,553.3467023337082,1.3915326444570264,Amarillo,4.0,0.30064292470147064,2024-05-29,1.413781879901886,2000.0
98016,158.0,173.1409597968197,43.28523994920492,3.6502050164308306,Verde,4.0,0.4791712809421473,2024-05-29,6.953228444337845,300.0
17171,20050.0,24469.33251953125,6117.3331298828125,3.277572035771099,Verde,4.0,0.31534198782956796,2024-05-29,0.15680954992771148,15000.0
3461-1096skr,53.0,118.9051804542542,19.817530075709033,2.674399877155416,Verde,6.0,0.8339796157151372,2024-08-29,32.0,150.0
fc-1702,316.0,687.739917966099,114.62331966101651,2.756856117363628,Verde,6.0,1.0155739729064768,2024-08-29,1.62,150.0
n008,158.0,520.4714884930048,86.74524808216746,1.8214254209099512,Verde,6.0,0.8374660314758103,2024-01-22,3.5,200.0
n002,350.0,573.9990243844401,95.66650406407335,3.6585428037130416,Verde,6.0,1.0651098030916875,2024-01-22,6.62,200.0
mwmwd976,1690.0,1435.741530122034,478.580510040678,3.531276273361727,Verde,3.0,1.4291448483827596,2024-07-20,6.6,2700.0
sk006,130.0,390.1855354309082,65.03092257181804,1.999048988678151,Verde,6.0,0.5967984198200184,2024-01-22,5.57,304.0
4106861j00,14.0,323.3140151541366,53.8856691923561,0.25980933724742455,Rojo,6.0,0.7902417070098545,2024-08-22,10.15,144.0
wk-1050/1,1.0,800.1308836760942,200.03272091902355,0.004999182110834837,Rojo,4.0,0.4179392031463944,2024-09-12,10.97,504.0
wk-1050/1,519.0,800.1308836760942,200.03272091902355,2.5945755155232804,Verde,4.0,0.4179392031463944,2024-09-12,10.97,504.0
48520-52010,119.0,824.8973253172646,137.48288755287743,0.8655622682803435,Rojo,6.0,0.8655559610188036,2024-02-29,10.3,504.0
41601-64j00,34.0,124.9159972133736,20.8193328688956,1.633097477911817,Verde,6.0,0.6808047376429847,2024-02-29,11.4,4.0
54650-b4000,20.0,71.13701227636126,11.856168712726877,1.6868855770018871,Verde,6.0,0.8250751719040705,2024-02-29,10.3,120.0
hu-931/5x,492.0,275.7866231793054,68.94665579482636,7.135951618365787,Verde,4.0,1.2647189908661938,2024-09-12,3.06,240.0
to-2880,5.0,395.6196005943964,65.93660009906607,0.0758304188036353,Rojo,6.0,0.72705121769931,2024-06-21,9.92,180.0
wk-723,1.0,1928.183716747747,482.04592918693675,0.002074491120974079,Rojo,4.0,0.2694455755490019,2024-04-09,3.0309616327285767,960.0
wk-723,2865.0,1928.183716747747,482.04592918693675,5.943417061590737,Verde,4.0,0.2694455755490019,2024-04-09,3.0309616327285767,960.0
a-1517,321.0,1407.152709960938,234.52545166015634,1.368721380676206,Amarillo,6.0,1.3979324030388385,2024-08-29,2.6,440.0
c-20500,191.0,164.3692177534794,41.09230443836985,4.648072251252334,Verde,4.0,0.4296690227207352,2024-09-12,14.35,120.0
bdd021,400.0,591.7945645223703,98.63242742039505,4.0554613777789745,Verde,6.0,0.7509814091887279,2024-07-24,18.01,300.0
c-5706,382.0,483.3785972595215,80.56309954325359,4.741624914703135,Verde,6.0,0.5741263001990448,2023-11-24,6.87,246.0
hy023,250.0,308.7171427920628,51.45285713201047,4.858816670930155,Verde,6.0,1.1042278307764948,2024-01-22,5.36,304.0
wk-1156/1,354.0,248.4743559577677,62.118588989441925,5.6987772220674255,Verde,4.0,0.32598644082159406,2024-02-03,10.9,144.0
a-22380-s,422.0,203.0763912200928,33.8460652033488,12.468214472335367,Verde,6.0,1.0150931830595775,2023-12-05,35.86,152.0
hy036,220.0,115.667776717871,19.277962786311836,11.411994225666275,Verde,6.0,1.0473369449494645,2024-01-22,10.5,248.0
cf-1651,23.0,108.6988266863199,27.174706671579976,0.8463752811747552,Rojo,4.0,0.26281742605439157,2024-02-03,20.85,60.0
cf-1651,120.0,108.6988266863199,27.174706671579976,4.415871032216114,Verde,4.0,0.26281742605439157,2024-02-03,20.85,60.0
a-57270-s,67.0,229.0829397807867,38.180489963464446,1.7548229492107992,Verde,6.0,1.2576689842910365,2024-08-29,34.71,96.0
mi004,48.0,127.0064562077251,21.167742701287516,2.2676012590175914,Verde,6.0,1.004380726046086,2023-08-31,9.56,120.0
c-65400,451.0,2217.793642990616,369.6322738317693,1.220131552163282,Amarillo,6.0,0.7522342122140965,2024-08-29,1.1,750.0
861800,600.0,121.5429135601206,40.5143045200402,14.809584098949866,Verde,3.0,0.4651773630973287,2023-04-10,4.958333,216.0
sfc-19140,133.0,323.7590391266446,53.959839854440766,2.4647960475563644,Verde,6.0,0.9096461583571887,2024-08-29,9.1,48.0
a-33411,726.0,1657.865020751953,276.31083679199213,2.627475666278466,Verde,6.0,0.6993379738985362,2024-08-29,2.4,440.0
48530-52b00,58.0,1094.656059908726,182.44267665145435,0.31790807427587503,Rojo,6.0,0.8716536616034334,2024-08-22,6.9,150.0
884527,481.0,444.5818140059295,148.1939380019765,3.245746799667236,Verde,3.0,0.6459840437315005,2024-05-04,4.988333,126.0
t013,668.0,609.8760829960369,101.6460138326728,6.571826821459475,Verde,6.0,0.8076811604120466,2024-01-22,3.99,504.0
n018,424.0,499.2681188426353,83.21135314043921,5.095458540187392,Verde,6.0,0.879337884758628,2024-01-22,4.5,600.0
884656,960.0,1016.163793296438,338.72126443214603,2.8341887587406283,Verde,3.0,0.7527135458871268,2024-08-07,5.161667,252.0
wp-11102/3,962.0,1025.589397857857,256.39734946446424,3.7519888641958437,Verde,4.0,0.31552553610597883,2024-04-09,7.561108589172363,480.0
dt-100v,1669.0,276.9428425581556,46.15714042635926,36.15908577921507,Verde,6.0,0.44067955415556603,2024-05-20,13.65,300.0
ca-1114,1231.0,7965.164530316391,1327.5274217193985,0.9272878133135832,Rojo,6.0,2.271465426478013,2024-08-29,1.0,1060.0
fc-2205,221.0,212.9142710486737,35.485711841445614,6.227858722052817,Verde,6.0,1.0080383312555175,2023-10-05,5.2,96.0
rxfc113640bep,3.0,2943.040439074037,1471.5202195370184,0.0020387079702811586,Rojo,2.0,0.32395839415064615,2024-05-04,1.52,5664.0
hy038,178.0,213.8923382674679,35.648723044577984,4.993166228630819,Verde,6.0,0.6613718759368644,2024-01-22,5.25,304.0
r20500025,242.0,345.2668544846922,172.6334272423461,1.4018142596466894,Amarillo,2.0,0.5154270182775946,2024-06-12,3.17,360.0
h80900025,397.0,326.7664170156172,163.3832085078086,2.4298702640609857,Verde,2.0,0.5043390340399426,2024-06-12,3.27,240.0
a-5025-s,70.0,164.858226440734,27.476371073455667,2.5476435666435404,Verde,6.0,0.5654041159161401,2024-08-29,23.72,100.0
17635,0.0,58315.16262577127,14578.790656442818,0.0,Rojo,4.0,0.401828937507032,2024-05-29,0.17851329386234283,54200.0
ef-1112,1208.0,1883.498894915814,313.91648248596897,3.848157288313122,Verde,6.0,0.9487324042419862,2024-08-29,2.0,744.0
48951,0.0,407.7876066173642,101.94690165434105,0.0,Rojo,4.0,0.4833711968893565,2024-05-29,2.6701030975580218,300.0
by-002,106.0,158.9429810430082,26.490496840501365,4.001434953758075,Verde,6.0,0.5360154596540169,2024-06-21,7.82,80.0
zxru1,183.0,239.8394508361816,79.94648361206053,2.2890312585604837,Verde,3.0,0.6698069310297613,2024-08-07,5.825,216.0
a-28640,33.0,341.1586322894276,56.859772048237936,0.58037517230994,Rojo,6.0,1.3568613670016292,2024-08-28,1.6,240.0
wk-962/13,169.0,122.0506239535887,30.512655988397174,5.538685326648208,Verde,4.0,0.3931043091973177,2024-01-25,12.38,102.0
ki-001,0.0,377.2462339401245,62.87437232335409,0.0,Rojo,6.0,0.6492439354740152,2024-06-21,7.22,200.0
17141,0.0,11715.76390794025,2928.9409769850627,0.0,Rojo,4.0,0.3937508893763514,2024-05-29,0.15442213809490205,3000.0
eo-2404,1791.0,1307.200580168333,217.86676336138885,8.220620586487344,Verde,6.0,1.3776223052671304,2024-02-28,1.44,600.0
48530-02130,45.0,92.31406593262095,15.385677655436824,2.9247980497042576,Verde,6.0,0.7491149765314363,2024-02-29,11.3,6.0
48530-02130,1.0,92.31406593262095,15.385677655436824,0.06499551221565017,Rojo,6.0,0.7491149765314363,2024-02-29,11.3,6.0
17919,1360.0,11038.4526952827,2759.613173820675,0.49282269446376237,Rojo,4.0,0.4300582586780219,2024-05-29,0.8204015207290648,6000.0
ef-15130,5799.0,6730.342616820721,1121.72376947012,5.1697219563594805,Verde,6.0,1.0727906386534685,2024-08-29,4.5,750.0
af9050m,130.0,385.6081368854741,128.53604562849137,1.0113894461615842,Naranja,3.0,0.5115333640846055,2024-06-14,8.18,240.0
54651-2s000,2.0,98.31236615400421,16.385394359000703,0.12205992459994562,Rojo,6.0,0.6839785661151846,2024-08-22,12.32,80.0
t002,114.0,229.4037431281951,38.23395718803251,2.9816427172148106,Verde,6.0,1.125604481536322,2024-01-22,4.31,104.0
w-920/7,437.0,371.9015070485249,92.97537676213122,4.700169176168261,Verde,4.0,0.3096774455066469,2024-02-09,4.170797799825668,480.0
a-5441-s,57.0,641.7031921796014,106.95053202993357,0.5329566755595634,Rojo,6.0,0.8989572584060542,2024-08-29,23.72,34.0
54303-54y00,63.0,303.5410300072423,50.59017166787371,1.2453011706225718,Amarillo,6.0,0.7005227516498868,2024-08-22,9.5,80.0
54303-54y00,1.0,303.5410300072423,50.59017166787371,0.019766685247977332,Rojo,6.0,0.7005227516498868,2024-08-22,9.5,80.0
aty006,130.0,599.846287932144,99.974381322024,1.3003331281567176,Amarillo,6.0,0.6825754576770285,2023-05-19,2.32,900.0
a-5541-s,999.0,3663.838982858306,610.6398304763843,1.6359889252894633,Verde,6.0,1.1135131556205595,2024-08-29,6.77,900.0
t1069,8.0,622.2998374603965,103.71663957673275,0.07713323563748278,Rojo,6.0,0.7131725201611314,2024-03-19,4.05795,200.0
48510-20010,44.0,331.1428517051074,55.190475284184565,0.7972390122287764,Rojo,6.0,0.826269730603266,2024-08-22,6.95,100.0
hu-12140x,52.0,106.5003370496185,26.625084262404624,1.9530454622232118,Verde,4.0,0.3434992705527701,2024-09-12,11.77,102.0
a-13570,164.0,1330.476853063813,221.74614217730218,0.73958445630531,Rojo,6.0,0.9549650203891972,2024-08-29,6.5,448.0
48006,5559.0,3808.079057095486,952.0197642738715,5.839164488607002,Verde,4.0,0.47929878445139684,2023-04-18,1.7844423140168193,15000.0
d004,68.0,174.8891563415527,29.148192723592118,2.3329062163419074,Verde,6.0,0.8988192999943839,2024-01-22,6.09,152.0
t022,166.0,197.4190977085911,32.90318295143185,5.045104610244893,Verde,6.0,1.2101246818290445,2024-01-22,5.57,304.0
t012,190.0,1107.428436279297,184.57140604654953,1.029411890334093,Naranja,6.0,0.9392544928470387,2024-01-22,3.68,504.0
48520-12c20,30.0,414.1828384399414,69.03047307332356,0.4345906766151561,Rojo,6.0,0.7651001513151645,2023-12-23,10.3,300.0
fc-2904,7623.0,12162.84828456697,2027.1413807611616,3.7604678550529496,Verde,6.0,0.9030280313121419,2024-08-29,2.5,1175.0
54302-5m400,22.0,61.606451193368,10.267741865561334,2.142632751003355,Verde,6.0,0.7163844196916281,2024-02-29,9.9,102.0
54302-5m400,1.0,61.606451193368,10.267741865561334,0.09739239777287977,Rojo,6.0,0.7163844196916281,2024-02-29,9.9,102.0
mi-013,61.0,184.6806421279907,30.780107021331784,1.9817994771013852,Verde,6.0,0.6139488631062423,2023-12-07,8.5,50.0
a-5573-s,14.0,68.19179056794248,11.365298427990412,1.2318198319826654,Amarillo,6.0,1.0417538359904002,2023-11-06,20.63,30.0
41602-58m00,57.0,90.92834854125977,15.154724756876627,3.7612032494444088,Verde,6.0,0.7198975638410698,2024-02-29,10.6,149.0
w-11102/36,553.0,2428.387268066406,607.0968170166014,0.9108926031230993,Rojo,4.0,0.21994131153450577,2024-04-09,8.95165729522705,960.0
ef-5102,468.0,1527.155190402782,254.52586506713033,1.8387129334638215,Verde,6.0,1.073192253274557,2024-08-29,5.93,1000.0
c-1823,1750.0,2205.160591766608,367.52676529443465,4.761557974146542,Verde,6.0,0.7425770626327622,2024-06-13,1.07,600.0
48702,5750.0,6958.243967565009,1739.5609918912523,3.3054316731651903,Verde,4.0,0.3548165565758317,2024-05-29,1.4208355966806414,2000.0
cf-1510/1,47.0,68.06848766855813,17.017121917139534,2.7619241507967285,Verde,4.0,0.4199896801871157,2024-04-09,32.30853009223938,54.0
c-1318,274.0,760.3169965228891,126.71949942048151,2.1622560162648,Verde,6.0,1.1012779385485432,2024-08-29,2.75,252.0
48040,120.0,716.0560175302198,179.01400438255496,0.6703386163216518,Rojo,4.0,0.3837101637333097,2024-05-29,1.6787845933437346,600.0
mz002,96.0,299.8456326285745,49.97427210476241,1.9209884597969253,Verde,6.0,1.0333780953789926,2024-01-22,4.31,96.0
4060a397,96.0,223.7355725445832,37.28926209076386,2.574467678291176,Verde,6.0,0.7696569881328469,2024-08-22,9.86,144.0
